"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","537","POST user direto sem baseURL com header de autenticação","","Sun Jun 29 00:18:03 GMT-03:00 2025","passed","Sun Jun 29 00:18:04 GMT-03:00 2025","","","",""
"","516","Create User usando UsersAPI","","Sun Jun 29 00:18:03 GMT-03:00 2025","passed","Sun Jun 29 00:18:03 GMT-03:00 2025","","","",""
